date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats,PA,AB,H,HR,SO,AVG,OBP,SLG,OPS
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Alex Call,Nationals,RF,1,R,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,James Wood,Nationals,LF,2,L,3.0,2.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Keibert Ruiz,Nationals,C,3,S,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,N. Lowe,Nationals,1B,4,L,3.0,3.0,1.0,0.0,1.0,0.333,0.333,0.333,0.667
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Josh Bell,Nationals,DH,5,S,3.0,1.0,0.0,0.0,1.0,0.0,0.667,0.0,0.667
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Luis Garcia,Nationals,2B,6,L,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Paul DeJong,Nationals,3B,7,R,2.0,2.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Dylan Crews,Nationals,CF,8,R,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,6:40 PM ET,Paul Skenes,Pirates,R,Nasim Nunez,Nationals,SS,9,S,2.0,2.0,1.0,0.0,1.0,0.5,0.5,1.0,1.5
2025-04-14,6:40 PM ET,Brad Lord,Nationals,R,Oneil Cruz,Pirates,CF,1,L,2.0,2.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5
2025-04-14,6:40 PM ET,Brad Lord,Nationals,R,B. Reynolds,Pirates,DH,2,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
