date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats,PA,AB,H,HR,SO,AVG,OBP,SLG,OPS
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,M. Harris,Braves,CF,1,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Austin Riley,Braves,3B,2,R,12.0,11.0,3.0,1.0,3.0,0.273,0.333,0.545,0.879
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Matt Olson,Braves,1B,3,L,12.0,9.0,1.0,1.0,3.0,0.111,0.333,0.444,0.778
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Ozzie Albies,Braves,2B,4,S,6.0,5.0,1.0,0.0,1.0,0.2,0.333,0.2,0.533
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Sean Murphy,Braves,C,5,R,7.0,7.0,2.0,0.0,3.0,0.286,0.286,0.429,0.714
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,B. De La Cruz,Braves,DH,6,R,11.0,10.0,6.0,1.0,1.0,0.6,0.636,1.2,1.836
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,J. Kelenic,Braves,RF,7,L,10.0,7.0,0.0,0.0,4.0,0.0,0.3,0.0,0.3
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Nick Allen,Braves,SS,8,R,6.0,6.0,1.0,0.0,0.0,0.167,0.167,0.167,0.333
2025-04-16,1:07 PM ET,Chris Bassitt,Blue Jays,R,Eli White,Braves,LF,9,R,11.0,10.0,4.0,0.0,3.0,0.4,0.455,0.6,1.055
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,Bo Bichette,Blue Jays,SS,1,R,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,V. Guerrero,Blue Jays,1B,2,R,3.0,3.0,1.0,0.0,1.0,0.333,0.333,0.667,1.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,A. Santander,Blue Jays,RF,3,S,2.0,2.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,A. Gimenez,Blue Jays,2B,4,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,G. Springer,Blue Jays,CF,5,R,3.0,3.0,1.0,0.0,2.0,0.333,0.333,0.333,0.667
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,A. Kirk,Blue Jays,C,6,R,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,Will Wagner,Blue Jays,DH,7,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,E. Clement,Blue Jays,3B,8,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:07 PM ET,Spencer Strider,Braves,R,Alan Roden,Blue Jays,LF,9,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,J. Malloy,Tigers,DH,1,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,G. Torres,Tigers,2B,2,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,Andy Ibanez,Tigers,3B,3,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,S. Torkelson,Tigers,1B,4,R,4.0,4.0,1.0,0.0,0.0,0.25,0.25,0.5,0.75
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,Riley Greene,Tigers,LF,5,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,D. Dingler,Tigers,C,6,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,Javier Baez,Tigers,SS,7,R,5.0,5.0,2.0,0.0,0.0,0.4,0.4,0.6,1.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,R. Kreidler,Tigers,CF,8,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Jose Quintana,Brewers,L,Z. McKinstry,Tigers,RF,9,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Keider Montero,Tigers,R,Brice Turang,Brewers,2B,1,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Keider Montero,Tigers,R,J. Chourio,Brewers,LF,2,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1:10 PM ET,Keider Montero,Tigers,R,C. Yelich,Brewers,DH,3,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
